job_id,job_title
7001,APPLICATIONS SUPPORT ANALYST/ADMINISTRATOR
7002,Designer
7003,Data Analyst
7004,Pharmaceutical Chemist
7005,Senior Systems Analyst JC60
7006,Regional Sales Manager
7007,Software Engineer - CAS-77363-R8X2M5
7008,Quality Assurance Analyst 
7009,Technical Architect
7010,Senior Manager JC45
7011,Data Scientist
7012,"Scientist 1, Analytical"
7013,COMPUTER SYSTEMS ANALYST
7014,SOFTWARE DEVELOPER
7015,Manager JC50
7016,"Computer Software Engineer, Applications"
7017,Sr. Software Engineer
7018,PHYSICAL THERAPIST
7019,Digital Marketing Specialist / Digital Marketing Strategist
7020,System Analyst JC65
7021,Quality Control Analyst
7022,Software Engineer
7023,EXECUTIVE PRODUCER
7024,Staff CPU Engineer
7025,Engineering Manager
7026,Software Developer
7027,Assistant Professor
7028,QUALITY CONTROL SUPERVISOR
7029,IT Consultant (Cloud DevOps Engineer)
7030,MANAGEMENT ANALYST
7031,Application Developer - Senior
7032,Clinical Analyst
7033,Senior Design Engineer - Electrical
7034,Software Tester
7035,"Principal Engineer,  M&A Integration"
7036,Materials Engineer
7037,shipping logistics
7038,Java Developer
7039,Sr Software Engineer II 
7040,Chemist
7041,DIRECTOR OF OPERATIONS
7042,POSTDOCTORAL SCHOLAR
7043,Software Developer II
7044,Senior Developer
7045,Warehouse Developer
7046,S3D ADMINISTRATOR
7047,CONTINUOUS IMPROVEMENT ENGINEER
7048,Senior Salesforce Developer
7049,Senior QA Automation 
7050,Associate
7051,Staff Systems Test Engineer
7052,Software Engineer II
7053,SQL Developer
7054,Senior Bigdata Developer
7055,"Senior Principal Engineer, Systems Engineering"
7056,QA Lead
7057,Programmer Analyst
7058,Senior Validation Engineers
7059,SAP FICO
7060,Programmer Analyst - II
7061,Design Professional
7062,IT Business Analyst
7063,Business Intelligence Analyst
7064,Cloud Solution Architect
7065,Senior Network Engineer
7066,DevOps Engineer
7067,Senior Devops Engineer
7068,Unix / Linux Administrator
7069,Senior Technical Architect
7070,Senior Data Analyst
7071,Senior Data Engineer
7072,Senior .Net Developer
7073,Systems Analyst - III
7074,Research Scientist
7075,Graphic Designer - III
7076,Electrical Engineer 3 - SCADA
7077,"Senior Backend Software Engineer, Payments"
7078,IT Manager
7079,Marketing & Business Development Specialist 
7080,Data Integration Developer - ETL Developer
7081,Web Application Developer
7082,Pilots
7083,Architect Level 2 
7084,Senior Project Manager
7085,Business Intelligence Developer III
7086,"Staff Software Engineer, Esports Digital"
7087,Project Manager - III
7088,Specialty Development Consultant/Expert 
7089,Pilot
7090,Physician
7091,Electrical Engineer 4 - SCADA
7092,Music Therapist 
7093,Product Manager
7094,Database Administrator
7095,Oracle/Sql Dba
7096,SYSTEM ADMINISTRATOR
7097,Electrical Engineer 4
7098,Senior ETL Developer
7099,Senior Tibco Developer
7100,Music Therapist
7101,SENIOR ACCOUNT MANAGER
7102,"Engineer 4, Software Development & Engineering"
7103,Microstrategy Architect
7104,"Manager, Software Development 2"
7105,"Specialist, Software Engineer"
7106,"Software Developers, Systems Software - KBGFJG116539-5"
7107,SENIOR MECHANICAL ENGINEER
7108,Sr Staff Physical Design Engineer
7109,Manager JC50 - Computer Systems Engineers
7110,Computer Systems Analyst 3
7111,SharePoint Developer
7112,Software Engineering SMTS
7113,Research Database Administrator
7114,Software Developer/Solutions Consultant
7115,Logistics and Shipping Analyst 
7116,Business Operations Consultant
7117,Senior Web Developer
7118,Software Development Engineer III
7119,Eng. Mgr. (Automation Integration Specialist)-KBGFJG133755-1
7120,Senior International Creative Director
7121,Silicon Engineer
7122,Lead Architect-Wireless
7123,Cybersecurity Engineer
7124,Specialist Leader
7125,"Software Developers, Applications -KBGFJG156575-1"
7126,Senior Manager Data Operations Engineer
7127,Product Verification Engineer
7128,Senior Consultant
7129,"Engineer 3, Software Development & Engineering"
7130,PRPC ENGINEER 2
7131,Industrial Design Team Lead
7132,Technical Lead
7133,Staff Software Engineer 
7134,Principal Software Engineer
7135,Sr. Business System Analyst
7136,"Sr. Engineer, Software/Info Platform"
7137,Product Manager III - Tech
7138,Database Administrators - KBGFJG53661-13
7139,Biomedical Engineer
7140,Salesforce Senior Consultant
7141,Integration Developer
7142,"Manager II, Technical Project Management"
7143,Salesforce Developer
7144,Principal BT Analyst I
7145,Vistex Solution Lead
7146,Senior Solution Specialist
7147,Senior Lead Business Systems Analyst
7148,Product Manager III
7149,Product Design Engineer
7150,Technical Program Manager III 
7151,HARDWARE DEVELOPER
7152,Software Engineer 
7153,Production Engineer
7154,Operations Research Analysts - KBGFJG148126-2
7155,Senior Software Engineer 
7156,Business Analyst
7157,Architect
7158,Assistant Research Scientist
7159,"ERP Developer, Principal"
7160,Translator
7161,System Development Engineer I
7162,Medical Laboratory Scientist
7163,Staff Product Engineer
7164,Software Engineer (20012.2586.15)
7165,PERFORMANCE ENGINEER
7166,IT Consultant (API Developer)
7167,Technical Lead-Automotive/Mobile Software Development
7168,Applications Consultant 3
7169,SENIOR ASSOCIATE 
7170,Analyst IV IT
7171,"MANAGER, E2E VISIBILITY"
7172,Director of Quality and Regulatory
7173,Regulatory Affairs Specialist
7174,Assistant Vice President
7175,VICE PRESIDENT
7176,"Solution Architect, Pricing Applications"
7177,Software Engineer Marketing Automation
7178,NETWORK SECURITY ENGINEER
7179,Automation Engineer
7180,Technical Team Lead
7181,"Software Engineer, Lead 1405.139"
7182,Data Engineer
7183,Computer Specialist/System Support And Development Admin 4
7184,NetSuite Developer
7185,Sr. Configuration Management Engineer
7186,IT Business Analysis Manager
7187,SOFTWARE DEVELOPMENT ENGINEER
7188,PROJECT MANAGER
7189,Principal Engineer
7190,Software Engineer   1615.66571
7191,MANUFACTURING CONTROLS DEVELOPMENT ENGINEER
7192,SENIOR PRINCIPAL CONSULTANT
7193,"Architect, Electronics"
7194,Sr. Systems Engineer
7195,"Manager, Development"
7196,SOFTWARE ENGINEER
7197,Quality Engineer II
7198,Site Reliability Engineer
7199,SYSTEMS ANALYST
7200,Infrastructure Lead/ Storage SME
7201,Lead Machine Learning Engineer
7202,Business Program Manager
7203,System Medical Director Addiction Services
7204,Solution Specialist
7205,Supply Chain Manager
7206,"Director, E-Commerce Systems"
7207,Computer Systems Analysts - KBOEYTEST10993-22
7208,Chief Financial Officer
7209,Research Analyst
7210,Product Designer
7211,"Customer Engineer, Analytics 1615.66269"
7212,Technical Design Expert
7213,Veterinarian
7214,Test Consultant 2
7215,Nursery Site Leader
7216,Principal Software Engineer/Developer
7217,"Senior Manager, Marketing Operations"
7218,Principal - Business Consulting 
7219,SAP SD Consultant
7220,Senior QA Engineer
7221,DESIGN PROJECT MANAGER
7222,"Lead Associate, Compliance Risk and Diligence"
7223,Senior Systems Analyst
7224,Postdoctoral Fellow
7225,Laboratory Technologist - Evening Shift Supervisor
7226,Application Support Analyst
7227,SENIOR DEVELOPER
7228,QA Engineer 
7229,Senior Product Analyst
7230,Design Verification Engineer
7231,Accountants and Auditors - KBGFJG01894-13
7232,Managing Director
7233,"Senior Staff Engineer, Hardware & Silicon Validation"
7234,Chief Collaboration Officer
7235,Robotic Process Automation Developer
7236,Senior Software Developer
7237,SmartPlant 3D Developer
7238,Engineering Technical Leader - CAS-66187-F5Z8C0
7239,Component Design Engineer
7240,Intelligent Application Senior Consultant
7241,"Sr. Manager, Order to Ship"
7242,Senior Applications Developer
7243,STS Lead Vacuum Engineer
7244,"Senior Engineer, Robotics Engineering"
7245,Specialist - Technology
7246,Business Systems Analyst 2
7247,CLOUD ENGINEER
7248,Talent Acquisition Manager Lifescience/ Business Development
7249,Software Development Engineer
7250,"Senior Specialist III, Technical Project Management"
7251,Sr. DevOps Engineer
7252,Director of Dental Admissions
7253,Economist I
7254,Information Security Analysts - KBGFJG162055-1
7255,Engineer III - Electronics
7256,Solution Architect 3
7257,Microbiologist
7258,Senior Product Security Engineer
7259,ASSOCIATE APPLICATION SECURITY ENGINEER
7260,Full Stack Software Engineer - Rails & React
7261,Technology Project Manager
7262,Designer 
7263,Cloud Engineer
7264,SENIOR TECHNICAL PROJECT MANAGER
7265,Elementary Bilingual Teacher 
7266,Software Engineering Manager
7267,Manager
7268,QA Engineer
7269,DENTIST
7270,Consultant
7271,"Senior Staff Engineer, Product Software (20521.170.8)"
7272,Data Solution Engineer IV
7273,Software  Developer
7274,Internal Controls Analyst II
7275,Product Manager III - Technical
7276,RPA Developer
7277,DATABASE ADMINISTRATOR
7278,Technology Architect - US 
