soc_code,soc_title
15113200,"Software Developers, Applications"
17301300,Mechanical Drafters
15203100,Operations Research Analysts
19203100,Chemists
15112100,Computer Systems Analysts
11202200,Sales Managers
15113300,"Software Developers, Systems Software"
15119901,Software Quality Assurance Engineers and Testers
19102100,Biochemists and Biophysicists
29112300,Physical Therapists
13116100,Market Research Analysts and Marketing Specialists
19409901,Quality Control Analysts
27201200,Producers and Directors
17207200,"Electronics Engineers, Except Computer"
11302100,Computer and Information Systems Managers
25112200,"Communications Teachers, Postsecondary"
45201100,Agricultural Inspectors
13111100,Management Analysts
17203100,Biomedical Engineers
17211200,Industrial Engineers
17205100,Civil Engineers
13107500,Labor Relations Specialists
13119900,"Business Operations Specialists, All Other"
19104200,"Medical Scientists, Except Epidemiologists"
25112500,"History Teachers, Postsecondary"
15119900,"Computer Occupations, All Other"
17219902,Validation Engineers
15113100,Computer Programmers
17101100,"Architects, Except Landscape and Naval"
15119908,Business Intelligence Analysts
15119902,Computer Systems Engineers/Architects
15114200,Network and Computer Systems Administrators
15119909,Information Technology Project Managers
15111100,Computer and Information Research Scientists
27102400,Graphic Designers
172021,Electrical Engineers
15113400,Web Developers
53201100,"Airline Pilots, Copilots, and Flight Engineers"
29106200,Family and General Practitioners
172071,Electrical Engineers
29112500,Recreational Therapists
15114100,Database Administrators
29112502,Music Therapists
13201100,Accountants and Auditors
17214100,Mechanical Engineers
151132,"Software Developers, Applications"
15119907,Data Warehousing Specialists
13108100,Logisticians
27101100,Art Directors
17207100,Electrical Engineers
17207600,"Electronics Engineers, Except Computer, R&D"
15112200,Information Security Analysts
27102100,Commercial and Industrial Designers
25103200,"Engineering Teachers, Postsecondary"
15119906,Database Architects
19203200,Materials Scientists
17206100,Computer Hardware Engineers
131111,Management Analysts
19102903,Geneticists
27309100,Interpreters and Translators
29201100,Medical and Clinical Laboratory Technologists
13119905,Sustainability Specialists
11919904,Supply Chain Managers
11912100,Natural Sciences Managers
13104107,Regulatory Affairs Specialists
15103500,"Software Developers, Applications, R&D"
11902100,Construction Managers
29106600,Psychiatrists
11101100,Chief Executives
29113100,Veterinarians
19103200,Foresters
19406100,Social Science Research Assistants
19102900,"Biological Scientists, All Other"
11303100,Financial Managers
11102100,General and Operations Managers
19102901,Bioinformatics Scientists
19201200,Physicists
13107100,Human Resources Specialists
11903300,"Education Administrators, Postsecondary"
19301100,Economists
19102200,Microbiologists
27102900,"Designers, All Other"
25202100,"Elementary School Teachers, Except Special Education"
29102100,"Dentists, General"
13201102,Auditors
11202100,Marketing Managers
11307100,"Transportation, Storage, and Distribution Managers"
13105100,Cost Estimators
29114100,Registered Nurses
15204100,Statisticians
17213100,Materials Engineers
11911100,Medical and Health Services Managers
11904100,Architectural and Engineering Managers
29106900,"Physicians and Surgeons, All Other"
152041,Statisticians
27303100,Public Relations Specialists
15114300,Computer Network Architects
25101100,"Business Teachers, Postsecondary"
13201101,Accountants
11912101,Clinical Research Coordinators
15201100,Actuaries
17219904,Manufacturing Engineers
19309901,Transportation Planners
19309400,Political Scientists
17302600,Industrial Engineering Technicians
